episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,60000,white,1-0,1.0,1.0,47,checkmate,False
2,60001,black,1/2-1/2,0.0,0.5,70,threefold_repetition,False
3,60002,white,1/2-1/2,0.0,0.5,100,max_plies,False
4,60003,black,1/2-1/2,0.0,0.5,100,max_plies,False
5,60004,white,1-0,1.0,1.0,37,checkmate,False
6,60005,black,1/2-1/2,0.0,0.5,100,max_plies,False
7,60006,white,1/2-1/2,0.0,0.5,100,max_plies,False
8,60007,black,0-1,1.0,1.0,30,checkmate,False
9,60008,white,1/2-1/2,0.0,0.5,100,max_plies,False
10,60009,black,0-1,1.0,1.0,26,checkmate,False
11,60010,white,1/2-1/2,0.0,0.5,68,threefold_repetition,False
12,60011,black,1/2-1/2,0.0,0.5,100,max_plies,False
13,60012,white,1/2-1/2,0.0,0.5,100,max_plies,False
14,60013,black,1/2-1/2,0.0,0.5,100,threefold_repetition,False
15,60014,white,1/2-1/2,0.0,0.5,61,threefold_repetition,False
16,60015,black,0-1,1.0,1.0,78,checkmate,False
17,60016,white,1/2-1/2,0.0,0.5,44,threefold_repetition,False
18,60017,black,0-1,1.0,1.0,80,checkmate,False
19,60018,white,1/2-1/2,0.0,0.5,100,max_plies,False
20,60019,black,0-1,1.0,1.0,34,checkmate,False
21,60020,white,1-0,1.0,1.0,73,checkmate,False
22,60021,black,0-1,1.0,1.0,42,checkmate,False
23,60022,white,1/2-1/2,0.0,0.5,57,threefold_repetition,False
24,60023,black,1/2-1/2,0.0,0.5,100,max_plies,False
25,60024,white,1-0,1.0,1.0,73,checkmate,False
26,60025,black,1/2-1/2,0.0,0.5,100,max_plies,False
27,60026,white,1-0,1.0,1.0,61,checkmate,False
28,60027,black,0-1,1.0,1.0,62,checkmate,False
29,60028,white,1-0,1.0,1.0,15,checkmate,False
30,60029,black,1/2-1/2,0.0,0.5,100,max_plies,False
31,60030,white,1/2-1/2,0.0,0.5,100,max_plies,False
32,60031,black,1/2-1/2,0.0,0.5,100,max_plies,False
33,60032,white,1-0,1.0,1.0,29,checkmate,False
34,60033,black,1/2-1/2,0.0,0.5,100,max_plies,False
35,60034,white,1-0,1.0,1.0,51,checkmate,False
36,60035,black,0-1,1.0,1.0,62,checkmate,False
37,60036,white,1/2-1/2,0.0,0.5,42,threefold_repetition,False
38,60037,black,1/2-1/2,0.0,0.5,20,threefold_repetition,False
39,60038,white,1/2-1/2,0.0,0.5,43,threefold_repetition,False
40,60039,black,1/2-1/2,0.0,0.5,72,threefold_repetition,False
41,60040,white,1-0,1.0,1.0,85,checkmate,False
42,60041,black,1/2-1/2,0.0,0.5,100,max_plies,False
43,60042,white,1/2-1/2,0.0,0.5,100,max_plies,False
44,60043,black,1/2-1/2,0.0,0.5,100,max_plies,False
45,60044,white,1-0,1.0,1.0,39,checkmate,False
46,60045,black,1/2-1/2,0.0,0.5,50,threefold_repetition,False
47,60046,white,1/2-1/2,0.0,0.5,100,max_plies,False
48,60047,black,1/2-1/2,0.0,0.5,87,threefold_repetition,False
49,60048,white,1-0,1.0,1.0,35,checkmate,False
50,60049,black,1/2-1/2,0.0,0.5,100,max_plies,False
51,60050,white,1/2-1/2,0.0,0.5,100,max_plies,False
52,60051,black,1/2-1/2,0.0,0.5,100,max_plies,False
53,60052,white,1/2-1/2,0.0,0.5,100,max_plies,False
54,60053,black,1/2-1/2,0.0,0.5,85,threefold_repetition,False
55,60054,white,1/2-1/2,0.0,0.5,100,max_plies,False
56,60055,black,1/2-1/2,0.0,0.5,100,max_plies,False
57,60056,white,1/2-1/2,0.0,0.5,100,max_plies,False
58,60057,black,1/2-1/2,0.0,0.5,100,max_plies,False
59,60058,white,1/2-1/2,0.0,0.5,100,max_plies,False
60,60059,black,1/2-1/2,0.0,0.5,100,max_plies,False
61,60060,white,1/2-1/2,0.0,0.5,100,max_plies,False
62,60061,black,1-0,-1.0,0.0,29,checkmate,False
63,60062,white,1/2-1/2,0.0,0.5,100,max_plies,False
64,60063,black,1/2-1/2,0.0,0.5,97,threefold_repetition,False
65,60064,white,1/2-1/2,0.0,0.5,100,max_plies,False
66,60065,black,0-1,1.0,1.0,54,checkmate,False
67,60066,white,1/2-1/2,0.0,0.5,100,max_plies,False
68,60067,black,1/2-1/2,0.0,0.5,100,max_plies,False
69,60068,white,1/2-1/2,0.0,0.5,100,max_plies,False
70,60069,black,1/2-1/2,0.0,0.5,100,max_plies,False
71,60070,white,1/2-1/2,0.0,0.5,100,max_plies,False
72,60071,black,0-1,1.0,1.0,66,checkmate,False
73,60072,white,1/2-1/2,0.0,0.5,100,max_plies,False
74,60073,black,1/2-1/2,0.0,0.5,100,max_plies,False
75,60074,white,1/2-1/2,0.0,0.5,74,threefold_repetition,False
76,60075,black,1-0,-1.0,0.0,29,checkmate,False
77,60076,white,1/2-1/2,0.0,0.5,100,max_plies,False
78,60077,black,1/2-1/2,0.0,0.5,100,max_plies,False
79,60078,white,1/2-1/2,0.0,0.5,77,threefold_repetition,False
80,60079,black,1/2-1/2,0.0,0.5,94,threefold_repetition,False
81,60080,white,1-0,1.0,1.0,71,checkmate,False
82,60081,black,1/2-1/2,0.0,0.5,55,threefold_repetition,False
83,60082,white,1/2-1/2,0.0,0.5,100,max_plies,False
84,60083,black,1/2-1/2,0.0,0.5,100,max_plies,False
85,60084,white,1/2-1/2,0.0,0.5,100,max_plies,False
86,60085,black,1/2-1/2,0.0,0.5,100,max_plies,False
87,60086,white,1/2-1/2,0.0,0.5,100,max_plies,False
88,60087,black,1/2-1/2,0.0,0.5,100,max_plies,False
89,60088,white,1/2-1/2,0.0,0.5,90,threefold_repetition,False
90,60089,black,1/2-1/2,0.0,0.5,100,max_plies,False
91,60090,white,1/2-1/2,0.0,0.5,100,max_plies,False
92,60091,black,1/2-1/2,0.0,0.5,100,max_plies,False
93,60092,white,1/2-1/2,0.0,0.5,100,max_plies,False
94,60093,black,1/2-1/2,0.0,0.5,100,max_plies,False
95,60094,white,1/2-1/2,0.0,0.5,89,threefold_repetition,False
96,60095,black,0-1,1.0,1.0,34,checkmate,False
97,60096,white,1-0,1.0,1.0,95,checkmate,False
98,60097,black,1/2-1/2,0.0,0.5,100,max_plies,False
99,60098,white,1/2-1/2,0.0,0.5,95,threefold_repetition,False
100,60099,black,1/2-1/2,0.0,0.5,82,threefold_repetition,False
101,60100,white,1/2-1/2,0.0,0.5,100,max_plies,False
102,60101,black,1/2-1/2,0.0,0.5,98,stalemate,False
103,60102,white,1-0,1.0,1.0,55,checkmate,False
104,60103,black,1/2-1/2,0.0,0.5,100,max_plies,False
105,60104,white,1/2-1/2,0.0,0.5,100,max_plies,False
106,60105,black,1/2-1/2,0.0,0.5,97,threefold_repetition,False
107,60106,white,1-0,1.0,1.0,17,checkmate,False
108,60107,black,1/2-1/2,0.0,0.5,64,threefold_repetition,False
109,60108,white,1/2-1/2,0.0,0.5,100,max_plies,False
110,60109,black,1/2-1/2,0.0,0.5,100,max_plies,False
111,60110,white,1/2-1/2,0.0,0.5,85,threefold_repetition,False
112,60111,black,1/2-1/2,0.0,0.5,100,max_plies,False
113,60112,white,1/2-1/2,0.0,0.5,100,max_plies,False
114,60113,black,1/2-1/2,0.0,0.5,100,max_plies,False
115,60114,white,1/2-1/2,0.0,0.5,100,max_plies,False
116,60115,black,0-1,1.0,1.0,86,checkmate,False
117,60116,white,1-0,1.0,1.0,11,checkmate,False
118,60117,black,0-1,1.0,1.0,76,checkmate,False
119,60118,white,1-0,1.0,1.0,43,checkmate,False
120,60119,black,0-1,1.0,1.0,98,checkmate,False
121,60120,white,1/2-1/2,0.0,0.5,100,max_plies,False
122,60121,black,1/2-1/2,0.0,0.5,100,max_plies,False
123,60122,white,1/2-1/2,0.0,0.5,100,max_plies,False
124,60123,black,1/2-1/2,0.0,0.5,100,max_plies,False
125,60124,white,1/2-1/2,0.0,0.5,100,max_plies,False
126,60125,black,0-1,1.0,1.0,46,checkmate,False
127,60126,white,1/2-1/2,0.0,0.5,100,max_plies,False
128,60127,black,0-1,1.0,1.0,64,checkmate,False
129,60128,white,1/2-1/2,0.0,0.5,100,max_plies,False
130,60129,black,1/2-1/2,0.0,0.5,100,max_plies,False
131,60130,white,1/2-1/2,0.0,0.5,100,max_plies,False
132,60131,black,0-1,1.0,1.0,62,checkmate,False
133,60132,white,1/2-1/2,0.0,0.5,98,threefold_repetition,False
134,60133,black,1/2-1/2,0.0,0.5,100,max_plies,False
