episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,92000,white,1-0,1.0,1.0,31,checkmate,False
2,92001,black,1/2-1/2,0.0,0.5,70,threefold_repetition,False
3,92002,white,1/2-1/2,0.0,0.5,200,max_plies,False
4,92003,black,1/2-1/2,0.0,0.5,169,insufficient_material,False
5,92004,white,1-0,1.0,1.0,15,checkmate,False
6,92005,black,0-1,1.0,1.0,128,checkmate,False
7,92006,white,1-0,1.0,1.0,53,checkmate,False
8,92007,black,0-1,1.0,1.0,16,checkmate,False
9,92008,white,0-1,-1.0,0.0,80,checkmate,False
10,92009,black,1/2-1/2,0.0,0.5,70,threefold_repetition,False
11,92010,white,1-0,1.0,1.0,105,checkmate,False
12,92011,black,0-1,1.0,1.0,92,checkmate,False
13,92012,white,1-0,1.0,1.0,73,checkmate,False
14,92013,black,0-1,1.0,1.0,54,checkmate,False
15,92014,white,1/2-1/2,0.0,0.5,94,threefold_repetition,False
16,92015,black,1/2-1/2,0.0,0.5,95,threefold_repetition,False
17,92016,white,1-0,1.0,1.0,21,checkmate,False
18,92017,black,0-1,1.0,1.0,58,checkmate,False
19,92018,white,1/2-1/2,0.0,0.5,69,threefold_repetition,False
20,92019,black,1/2-1/2,0.0,0.5,129,threefold_repetition,False
21,92020,white,1/2-1/2,0.0,0.5,108,threefold_repetition,False
22,92021,black,0-1,1.0,1.0,94,checkmate,False
23,92022,white,1/2-1/2,0.0,0.5,92,threefold_repetition,False
24,92023,black,1/2-1/2,0.0,0.5,200,max_plies,False
25,92024,white,1-0,1.0,1.0,41,checkmate,False
26,92025,black,1/2-1/2,0.0,0.5,164,threefold_repetition,False
27,92026,white,1-0,1.0,1.0,37,checkmate,False
28,92027,black,1/2-1/2,0.0,0.5,141,threefold_repetition,False
29,92028,white,0-1,-1.0,0.0,28,checkmate,False
30,92029,black,0-1,1.0,1.0,112,checkmate,False
31,92030,white,1/2-1/2,0.0,0.5,97,threefold_repetition,False
32,92031,black,1/2-1/2,0.0,0.5,141,threefold_repetition,False
33,92032,white,1/2-1/2,0.0,0.5,200,max_plies,False
34,92033,black,0-1,1.0,1.0,36,checkmate,False
35,92034,white,1-0,1.0,1.0,35,checkmate,False
36,92035,black,0-1,1.0,1.0,88,checkmate,False
37,92036,white,1/2-1/2,0.0,0.5,68,threefold_repetition,False
