episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,50000,white,1/2-1/2,0.0,0.5,100,max_plies,False
2,50001,black,0-1,1.0,1.0,78,checkmate,False
3,50002,white,1/2-1/2,0.0,0.5,100,max_plies,False
4,50003,black,1/2-1/2,0.0,0.5,55,threefold_repetition,False
5,50004,white,1/2-1/2,0.0,0.5,100,max_plies,False
6,50005,black,0-1,1.0,1.0,64,checkmate,False
7,50006,white,1-0,1.0,1.0,35,checkmate,False
8,50007,black,1-0,-1.0,0.0,35,checkmate,False
9,50008,white,1/2-1/2,0.0,0.5,58,threefold_repetition,False
10,50009,black,1/2-1/2,0.0,0.5,100,max_plies,False
11,50010,white,1-0,1.0,1.0,29,checkmate,False
12,50011,black,1/2-1/2,0.0,0.5,45,threefold_repetition,False
13,50012,white,1/2-1/2,0.0,0.5,100,max_plies,False
14,50013,black,0-1,1.0,1.0,38,checkmate,False
15,50014,white,1/2-1/2,0.0,0.5,77,threefold_repetition,False
16,50015,black,1/2-1/2,0.0,0.5,100,max_plies,False
17,50016,white,1/2-1/2,0.0,0.5,100,max_plies,False
18,50017,black,1-0,-1.0,0.0,27,checkmate,False
19,50018,white,1-0,1.0,1.0,97,checkmate,False
20,50019,black,1/2-1/2,0.0,0.5,74,threefold_repetition,False
21,50020,white,1/2-1/2,0.0,0.5,100,max_plies,False
22,50021,black,1/2-1/2,0.0,0.5,100,max_plies,False
23,50022,white,1-0,1.0,1.0,65,checkmate,False
24,50023,black,1/2-1/2,0.0,0.5,100,max_plies,False
25,50024,white,1/2-1/2,0.0,0.5,59,threefold_repetition,False
26,50025,black,0-1,1.0,1.0,72,checkmate,False
27,50026,white,1/2-1/2,0.0,0.5,100,max_plies,False
28,50027,black,0-1,1.0,1.0,76,checkmate,False
29,50028,white,1/2-1/2,0.0,0.5,100,max_plies,False
30,50029,black,1/2-1/2,0.0,0.5,100,max_plies,False
31,50030,white,1/2-1/2,0.0,0.5,43,threefold_repetition,False
32,50031,black,1-0,-1.0,0.0,49,checkmate,False
33,50032,white,1/2-1/2,0.0,0.5,100,max_plies,False
34,50033,black,1/2-1/2,0.0,0.5,100,max_plies,False
35,50034,white,1/2-1/2,0.0,0.5,100,max_plies,False
36,50035,black,1/2-1/2,0.0,0.5,81,threefold_repetition,False
37,50036,white,1-0,1.0,1.0,11,checkmate,False
38,50037,black,1-0,-1.0,0.0,43,checkmate,False
39,50038,white,0-1,-1.0,0.0,56,checkmate,False
40,50039,black,1/2-1/2,0.0,0.5,100,max_plies,False
41,50040,white,1/2-1/2,0.0,0.5,100,max_plies,False
42,50041,black,1/2-1/2,0.0,0.5,100,max_plies,False
43,50042,white,1-0,1.0,1.0,33,checkmate,False
44,50043,black,1/2-1/2,0.0,0.5,100,max_plies,False
45,50044,white,1/2-1/2,0.0,0.5,100,max_plies,False
46,50045,black,1/2-1/2,0.0,0.5,100,max_plies,False
47,50046,white,1-0,1.0,1.0,65,checkmate,False
48,50047,black,1/2-1/2,0.0,0.5,94,threefold_repetition,False
49,50048,white,1-0,1.0,1.0,23,checkmate,False
50,50049,black,1/2-1/2,0.0,0.5,100,max_plies,False
51,50050,white,1/2-1/2,0.0,0.5,100,max_plies,False
52,50051,black,1/2-1/2,0.0,0.5,100,max_plies,False
53,50052,white,1/2-1/2,0.0,0.5,100,max_plies,False
54,50053,black,1-0,-1.0,0.0,33,checkmate,False
55,50054,white,1/2-1/2,0.0,0.5,100,max_plies,False
56,50055,black,1/2-1/2,0.0,0.5,100,max_plies,False
57,50056,white,1/2-1/2,0.0,0.5,100,max_plies,False
58,50057,black,0-1,1.0,1.0,40,checkmate,False
59,50058,white,1/2-1/2,0.0,0.5,100,max_plies,False
60,50059,black,1/2-1/2,0.0,0.5,94,threefold_repetition,False
61,50060,white,1-0,1.0,1.0,73,checkmate,False
62,50061,black,1/2-1/2,0.0,0.5,100,max_plies,False
63,50062,white,1/2-1/2,0.0,0.5,70,threefold_repetition,False
64,50063,black,0-1,1.0,1.0,90,checkmate,False
65,50064,white,1/2-1/2,0.0,0.5,100,max_plies,False
66,50065,black,1/2-1/2,0.0,0.5,76,threefold_repetition,False
67,50066,white,1/2-1/2,0.0,0.5,57,threefold_repetition,False
68,50067,black,1/2-1/2,0.0,0.5,100,max_plies,False
69,50068,white,1-0,1.0,1.0,85,checkmate,False
70,50069,black,0-1,1.0,1.0,88,checkmate,False
71,50070,white,1/2-1/2,0.0,0.5,100,max_plies,False
72,50071,black,1/2-1/2,0.0,0.5,100,max_plies,False
73,50072,white,1-0,1.0,1.0,41,checkmate,False
74,50073,black,1/2-1/2,0.0,0.5,95,threefold_repetition,False
75,50074,white,1-0,1.0,1.0,95,checkmate,False
76,50075,black,1/2-1/2,0.0,0.5,100,max_plies,False
77,50076,white,1-0,1.0,1.0,67,checkmate,False
78,50077,black,1/2-1/2,0.0,0.5,100,max_plies,False
79,50078,white,1-0,1.0,1.0,37,checkmate,False
80,50079,black,1/2-1/2,0.0,0.5,50,threefold_repetition,False
81,50080,white,1-0,1.0,1.0,37,checkmate,False
82,50081,black,0-1,1.0,1.0,98,checkmate,False
83,50082,white,1/2-1/2,0.0,0.5,100,max_plies,False
84,50083,black,1/2-1/2,0.0,0.5,100,max_plies,False
85,50084,white,1/2-1/2,0.0,0.5,100,max_plies,False
86,50085,black,1/2-1/2,0.0,0.5,100,max_plies,False
87,50086,white,1/2-1/2,0.0,0.5,100,max_plies,False
88,50087,black,0-1,1.0,1.0,64,checkmate,False
89,50088,white,1/2-1/2,0.0,0.5,100,max_plies,False
90,50089,black,1/2-1/2,0.0,0.5,100,max_plies,False
91,50090,white,1-0,1.0,1.0,71,checkmate,False
92,50091,black,1/2-1/2,0.0,0.5,100,max_plies,False
93,50092,white,1-0,1.0,1.0,31,checkmate,False
94,50093,black,1/2-1/2,0.0,0.5,100,max_plies,False
95,50094,white,1-0,1.0,1.0,19,checkmate,False
96,50095,black,0-1,1.0,1.0,50,checkmate,False
97,50096,white,1/2-1/2,0.0,0.5,100,max_plies,False
98,50097,black,0-1,1.0,1.0,14,checkmate,False
99,50098,white,1/2-1/2,0.0,0.5,85,threefold_repetition,False
100,50099,black,0-1,1.0,1.0,56,checkmate,False
101,50100,white,1/2-1/2,0.0,0.5,100,max_plies,False
102,50101,black,1/2-1/2,0.0,0.5,56,threefold_repetition,False
103,50102,white,1/2-1/2,0.0,0.5,100,max_plies,False
104,50103,black,0-1,1.0,1.0,20,checkmate,False
105,50104,white,1-0,1.0,1.0,93,checkmate,False
106,50105,black,0-1,1.0,1.0,14,checkmate,False
107,50106,white,1-0,1.0,1.0,17,checkmate,False
108,50107,black,1/2-1/2,0.0,0.5,100,max_plies,False
109,50108,white,1/2-1/2,0.0,0.5,100,max_plies,False
110,50109,black,1/2-1/2,0.0,0.5,100,max_plies,False
111,50110,white,1/2-1/2,0.0,0.5,83,threefold_repetition,False
112,50111,black,1/2-1/2,0.0,0.5,100,max_plies,False
113,50112,white,1/2-1/2,0.0,0.5,90,threefold_repetition,False
114,50113,black,1/2-1/2,0.0,0.5,62,threefold_repetition,False
115,50114,white,1/2-1/2,0.0,0.5,100,max_plies,False
116,50115,black,1/2-1/2,0.0,0.5,100,max_plies,False
117,50116,white,1-0,1.0,1.0,19,checkmate,False
118,50117,black,1/2-1/2,0.0,0.5,100,max_plies,False
119,50118,white,1/2-1/2,0.0,0.5,100,max_plies,False
120,50119,black,1/2-1/2,0.0,0.5,100,max_plies,False
121,50120,white,1/2-1/2,0.0,0.5,100,max_plies,False
122,50121,black,1/2-1/2,0.0,0.5,100,max_plies,False
123,50122,white,1/2-1/2,0.0,0.5,100,max_plies,False
