episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,80000,white,1-0,1.0,1.0,7,checkmate,False
2,80001,black,0-1,1.0,1.0,92,checkmate,False
3,80002,white,1/2-1/2,0.0,0.5,100,max_plies,False
4,80003,black,1/2-1/2,0.0,0.5,100,max_plies,False
5,80004,white,1/2-1/2,0.0,0.5,62,threefold_repetition,False
6,80005,black,1/2-1/2,0.0,0.5,100,max_plies,False
7,80006,white,1/2-1/2,0.0,0.5,100,max_plies,False
8,80007,black,1-0,-1.0,0.0,57,checkmate,False
9,80008,white,1/2-1/2,0.0,0.5,21,threefold_repetition,False
10,80009,black,0-1,1.0,1.0,56,checkmate,False
11,80010,white,1-0,1.0,1.0,37,checkmate,False
12,80011,black,1/2-1/2,0.0,0.5,100,max_plies,False
13,80012,white,1-0,1.0,1.0,85,checkmate,False
14,80013,black,1/2-1/2,0.0,0.5,80,threefold_repetition,False
15,80014,white,1/2-1/2,0.0,0.5,100,max_plies,False
16,80015,black,1/2-1/2,0.0,0.5,100,max_plies,False
17,80016,white,1/2-1/2,0.0,0.5,100,max_plies,False
18,80017,black,0-1,1.0,1.0,30,checkmate,False
19,80018,white,1/2-1/2,0.0,0.5,93,stalemate,False
20,80019,black,1/2-1/2,0.0,0.5,100,threefold_repetition,False
21,80020,white,1-0,1.0,1.0,93,checkmate,False
22,80021,black,1/2-1/2,0.0,0.5,100,max_plies,False
23,80022,white,1/2-1/2,0.0,0.5,76,threefold_repetition,False
24,80023,black,0-1,1.0,1.0,92,checkmate,False
25,80024,white,1-0,1.0,1.0,27,checkmate,False
26,80025,black,1/2-1/2,0.0,0.5,100,max_plies,False
27,80026,white,1-0,1.0,1.0,19,checkmate,False
28,80027,black,1/2-1/2,0.0,0.5,100,max_plies,False
29,80028,white,1/2-1/2,0.0,0.5,100,max_plies,False
30,80029,black,0-1,1.0,1.0,28,checkmate,False
31,80030,white,1/2-1/2,0.0,0.5,100,max_plies,False
32,80031,black,1/2-1/2,0.0,0.5,100,max_plies,False
33,80032,white,1/2-1/2,0.0,0.5,100,max_plies,False
34,80033,black,1/2-1/2,0.0,0.5,70,threefold_repetition,False
35,80034,white,1/2-1/2,0.0,0.5,100,max_plies,False
36,80035,black,1/2-1/2,0.0,0.5,74,threefold_repetition,False
37,80036,white,1/2-1/2,0.0,0.5,65,threefold_repetition,False
38,80037,black,0-1,1.0,1.0,66,checkmate,False
39,80038,white,1-0,1.0,1.0,15,checkmate,False
40,80039,black,1/2-1/2,0.0,0.5,86,threefold_repetition,False
41,80040,white,1/2-1/2,0.0,0.5,100,max_plies,False
42,80041,black,0-1,1.0,1.0,74,checkmate,False
43,80042,white,1/2-1/2,0.0,0.5,100,max_plies,False
44,80043,black,1/2-1/2,0.0,0.5,50,threefold_repetition,False
45,80044,white,1-0,1.0,1.0,25,checkmate,False
46,80045,black,1/2-1/2,0.0,0.5,100,max_plies,False
47,80046,white,1-0,1.0,1.0,31,checkmate,False
48,80047,black,0-1,1.0,1.0,42,checkmate,False
49,80048,white,0-1,-1.0,0.0,52,checkmate,False
50,80049,black,0-1,1.0,1.0,58,checkmate,False
51,80050,white,1/2-1/2,0.0,0.5,100,max_plies,False
52,80051,black,0-1,1.0,1.0,92,checkmate,False
53,80052,white,1/2-1/2,0.0,0.5,100,max_plies,False
54,80053,black,1/2-1/2,0.0,0.5,100,max_plies,False
55,80054,white,1/2-1/2,0.0,0.5,100,max_plies,False
56,80055,black,1/2-1/2,0.0,0.5,100,max_plies,False
57,80056,white,1-0,1.0,1.0,23,checkmate,False
58,80057,black,1/2-1/2,0.0,0.5,100,max_plies,False
59,80058,white,1-0,1.0,1.0,83,checkmate,False
60,80059,black,0-1,1.0,1.0,46,checkmate,False
61,80060,white,1/2-1/2,0.0,0.5,100,max_plies,False
62,80061,black,1/2-1/2,0.0,0.5,100,max_plies,False
63,80062,white,1/2-1/2,0.0,0.5,100,max_plies,False
64,80063,black,1/2-1/2,0.0,0.5,100,max_plies,False
65,80064,white,1/2-1/2,0.0,0.5,100,max_plies,False
