episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,70000,white,1/2-1/2,0.0,0.5,100,max_plies,False
2,70001,black,0-1,1.0,1.0,46,checkmate,False
3,70002,white,1-0,1.0,1.0,99,checkmate,False
4,70003,black,1/2-1/2,0.0,0.5,100,max_plies,False
5,70004,white,1/2-1/2,0.0,0.5,36,threefold_repetition,False
6,70005,black,1/2-1/2,0.0,0.5,100,max_plies,False
7,70006,white,1-0,1.0,1.0,9,checkmate,False
8,70007,black,1/2-1/2,0.0,0.5,100,max_plies,False
9,70008,white,1-0,1.0,1.0,87,checkmate,False
10,70009,black,1/2-1/2,0.0,0.5,100,max_plies,False
11,70010,white,1/2-1/2,0.0,0.5,58,threefold_repetition,False
12,70011,black,1/2-1/2,0.0,0.5,100,max_plies,False
13,70012,white,1/2-1/2,0.0,0.5,100,max_plies,False
14,70013,black,1/2-1/2,0.0,0.5,100,max_plies,False
15,70014,white,1-0,1.0,1.0,33,checkmate,False
16,70015,black,1/2-1/2,0.0,0.5,66,threefold_repetition,False
17,70016,white,1/2-1/2,0.0,0.5,100,max_plies,False
18,70017,black,1/2-1/2,0.0,0.5,100,max_plies,False
19,70018,white,1-0,1.0,1.0,83,checkmate,False
20,70019,black,1/2-1/2,0.0,0.5,100,max_plies,False
21,70020,white,1-0,1.0,1.0,45,checkmate,False
22,70021,black,1/2-1/2,0.0,0.5,100,max_plies,False
23,70022,white,1/2-1/2,0.0,0.5,100,max_plies,False
24,70023,black,1/2-1/2,0.0,0.5,100,max_plies,False
25,70024,white,1/2-1/2,0.0,0.5,100,max_plies,False
26,70025,black,1/2-1/2,0.0,0.5,100,max_plies,False
27,70026,white,1-0,1.0,1.0,11,checkmate,False
28,70027,black,1/2-1/2,0.0,0.5,53,threefold_repetition,False
29,70028,white,1-0,1.0,1.0,67,checkmate,False
30,70029,black,0-1,1.0,1.0,88,checkmate,False
31,70030,white,1/2-1/2,0.0,0.5,100,max_plies,False
32,70031,black,0-1,1.0,1.0,44,checkmate,False
33,70032,white,1/2-1/2,0.0,0.5,35,threefold_repetition,False
34,70033,black,1/2-1/2,0.0,0.5,100,threefold_repetition,False
35,70034,white,1-0,1.0,1.0,43,checkmate,False
36,70035,black,1/2-1/2,0.0,0.5,69,threefold_repetition,False
37,70036,white,1/2-1/2,0.0,0.5,100,max_plies,False
38,70037,black,1/2-1/2,0.0,0.5,100,max_plies,False
39,70038,white,0-1,-1.0,0.0,76,checkmate,False
40,70039,black,0-1,1.0,1.0,58,checkmate,False
41,70040,white,1-0,1.0,1.0,73,checkmate,False
42,70041,black,0-1,1.0,1.0,24,checkmate,False
43,70042,white,1-0,1.0,1.0,77,checkmate,False
44,70043,black,1/2-1/2,0.0,0.5,100,max_plies,False
45,70044,white,1-0,1.0,1.0,35,checkmate,False
46,70045,black,0-1,1.0,1.0,12,checkmate,False
47,70046,white,1-0,1.0,1.0,37,checkmate,False
