episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,10000,white,1-0,1.0,1.0,51,checkmate,False
2,10001,black,1/2-1/2,0.0,0.5,35,threefold_repetition,False
3,10002,white,1-0,1.0,1.0,77,checkmate,False
4,10003,black,1/2-1/2,0.0,0.5,100,max_plies,False
5,10004,white,1/2-1/2,0.0,0.5,100,max_plies,False
6,10005,black,0-1,1.0,1.0,56,checkmate,False
7,10006,white,1/2-1/2,0.0,0.5,100,max_plies,False
8,10007,black,0-1,1.0,1.0,58,checkmate,False
9,10008,white,1-0,1.0,1.0,9,checkmate,False
10,10009,black,0-1,1.0,1.0,42,checkmate,False
11,10010,white,1-0,1.0,1.0,47,checkmate,False
12,10011,black,0-1,1.0,1.0,46,checkmate,False
13,10012,white,1/2-1/2,0.0,0.5,100,max_plies,False
14,10013,black,1/2-1/2,0.0,0.5,78,threefold_repetition,False
15,10014,white,1-0,1.0,1.0,9,checkmate,False
16,10015,black,1/2-1/2,0.0,0.5,26,threefold_repetition,False
17,10016,white,1/2-1/2,0.0,0.5,100,max_plies,False
18,10017,black,0-1,1.0,1.0,40,checkmate,False
19,10018,white,1/2-1/2,0.0,0.5,100,max_plies,False
20,10019,black,1/2-1/2,0.0,0.5,66,threefold_repetition,False
21,10020,white,1/2-1/2,0.0,0.5,100,max_plies,False
22,10021,black,0-1,1.0,1.0,18,checkmate,False
23,10022,white,1/2-1/2,0.0,0.5,100,max_plies,False
24,10023,black,1/2-1/2,0.0,0.5,100,max_plies,False
25,10024,white,1/2-1/2,0.0,0.5,100,max_plies,False
26,10025,black,0-1,1.0,1.0,50,checkmate,False
27,10026,white,1-0,1.0,1.0,37,checkmate,False
28,10027,black,1/2-1/2,0.0,0.5,100,max_plies,False
29,10028,white,1-0,1.0,1.0,71,checkmate,False
30,10029,black,0-1,1.0,1.0,56,checkmate,False
31,10030,white,1/2-1/2,0.0,0.5,100,max_plies,False
32,10031,black,1/2-1/2,0.0,0.5,100,max_plies,False
33,10032,white,1-0,1.0,1.0,67,checkmate,False
34,10033,black,0-1,1.0,1.0,56,checkmate,False
35,10034,white,1/2-1/2,0.0,0.5,75,threefold_repetition,False
36,10035,black,1/2-1/2,0.0,0.5,100,max_plies,False
37,10036,white,1/2-1/2,0.0,0.5,67,threefold_repetition,False
38,10037,black,0-1,1.0,1.0,88,checkmate,False
39,10038,white,1/2-1/2,0.0,0.5,100,max_plies,False
40,10039,black,1/2-1/2,0.0,0.5,100,max_plies,False
41,10040,white,1/2-1/2,0.0,0.5,100,max_plies,False
42,10041,black,1/2-1/2,0.0,0.5,82,threefold_repetition,False
43,10042,white,1-0,1.0,1.0,69,checkmate,False
44,10043,black,0-1,1.0,1.0,12,checkmate,False
45,10044,white,1/2-1/2,0.0,0.5,100,max_plies,False
46,10045,black,0-1,1.0,1.0,90,checkmate,False
47,10046,white,1-0,1.0,1.0,97,checkmate,False
48,10047,black,1/2-1/2,0.0,0.5,100,max_plies,False
49,10048,white,1-0,1.0,1.0,13,checkmate,False
50,10049,black,0-1,1.0,1.0,12,checkmate,False
51,10050,white,1-0,1.0,1.0,41,checkmate,False
52,10051,black,1/2-1/2,0.0,0.5,100,max_plies,False
53,10052,white,1-0,1.0,1.0,91,checkmate,False
54,10053,black,1/2-1/2,0.0,0.5,100,max_plies,False
55,10054,white,1/2-1/2,0.0,0.5,100,max_plies,False
56,10055,black,1/2-1/2,0.0,0.5,100,max_plies,False
57,10056,white,1/2-1/2,0.0,0.5,100,max_plies,False
58,10057,black,1/2-1/2,0.0,0.5,100,max_plies,False
59,10058,white,1-0,1.0,1.0,91,checkmate,False
60,10059,black,1/2-1/2,0.0,0.5,37,threefold_repetition,False
61,10060,white,1/2-1/2,0.0,0.5,36,threefold_repetition,False
