episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,90000,white,1/2-1/2,0.0,0.5,100,max_plies,False
2,90001,black,1/2-1/2,0.0,0.5,64,threefold_repetition,False
3,90002,white,1-0,1.0,1.0,29,checkmate,False
4,90003,black,1/2-1/2,0.0,0.5,73,threefold_repetition,False
5,90004,white,1-0,1.0,1.0,33,checkmate,False
6,90005,black,0-1,1.0,1.0,14,checkmate,False
7,90006,white,1-0,1.0,1.0,9,checkmate,False
8,90007,black,0-1,1.0,1.0,28,checkmate,False
9,90008,white,1/2-1/2,0.0,0.5,77,threefold_repetition,False
10,90009,black,1/2-1/2,0.0,0.5,95,threefold_repetition,False
11,90010,white,1/2-1/2,0.0,0.5,100,max_plies,False
12,90011,black,0-1,1.0,1.0,60,checkmate,False
13,90012,white,1-0,1.0,1.0,23,checkmate,False
14,90013,black,1/2-1/2,0.0,0.5,100,max_plies,False
15,90014,white,1-0,1.0,1.0,11,checkmate,False
16,90015,black,1/2-1/2,0.0,0.5,50,threefold_repetition,False
17,90016,white,1/2-1/2,0.0,0.5,100,max_plies,False
18,90017,black,0-1,1.0,1.0,18,checkmate,False
19,90018,white,1/2-1/2,0.0,0.5,100,max_plies,False
20,90019,black,0-1,1.0,1.0,80,checkmate,False
21,90020,white,1/2-1/2,0.0,0.5,100,max_plies,False
22,90021,black,0-1,1.0,1.0,98,checkmate,False
23,90022,white,0-1,-1.0,0.0,34,checkmate,False
24,90023,black,1/2-1/2,0.0,0.5,100,max_plies,False
25,90024,white,1/2-1/2,0.0,0.5,65,threefold_repetition,False
26,90025,black,0-1,1.0,1.0,96,checkmate,False
27,90026,white,1/2-1/2,0.0,0.5,100,max_plies,False
28,90027,black,0-1,1.0,1.0,60,checkmate,False
29,90028,white,1/2-1/2,0.0,0.5,100,max_plies,False
30,90029,black,1/2-1/2,0.0,0.5,75,threefold_repetition,False
31,90030,white,1/2-1/2,0.0,0.5,100,max_plies,False
32,90031,black,1/2-1/2,0.0,0.5,100,max_plies,False
33,90032,white,1-0,1.0,1.0,79,checkmate,False
34,90033,black,1/2-1/2,0.0,0.5,87,threefold_repetition,False
35,90034,white,1/2-1/2,0.0,0.5,100,max_plies,False
36,90035,black,0-1,1.0,1.0,64,checkmate,False
37,90036,white,1/2-1/2,0.0,0.5,23,threefold_repetition,False
38,90037,black,0-1,1.0,1.0,16,checkmate,False
39,90038,white,1/2-1/2,0.0,0.5,100,max_plies,False
40,90039,black,0-1,1.0,1.0,78,checkmate,False
41,90040,white,1/2-1/2,0.0,0.5,100,max_plies,False
42,90041,black,0-1,1.0,1.0,88,checkmate,False
43,90042,white,1/2-1/2,0.0,0.5,100,max_plies,False
44,90043,black,0-1,1.0,1.0,42,checkmate,False
45,90044,white,1-0,1.0,1.0,49,checkmate,False
46,90045,black,0-1,1.0,1.0,38,checkmate,False
47,90046,white,1/2-1/2,0.0,0.5,100,max_plies,False
48,90047,black,1/2-1/2,0.0,0.5,100,max_plies,False
49,90048,white,1/2-1/2,0.0,0.5,100,max_plies,False
50,90049,black,1/2-1/2,0.0,0.5,100,max_plies,False
51,90050,white,1-0,1.0,1.0,9,checkmate,False
